rider_record_id,policy_id,customer_id,rider_type_id,rider_premium,rider_sum_assured,rider_start_date,rider_end_date,rider_status
RDR0000104,POL0014165,CUST001203,R04,4973,214510,2011-08-01,2017-08-01,Matured
RDR0000105,POL0006903,CUST000654,R04,7926,1431270,2020-10-02,2035-10-02,Active
RDR0000106,POL0010147,CUST006618,R01,1785,608811,2023-02-08,2038-02-08,Active
RDR0000107,POL0002950,CUST008619,R04,7312,1191002,2021-11-24,2060-11-24,Active
RDR0000108,POL0010964,CUST006547,R02,4658,339874,2020-03-17,2053-03-17,Lapsed
RDR0000109,POL0003406,CUST005550,R02,7832,1334293,2016-08-03,2035-08-03,Active
RDR0000110,POL0005262,CUST001460,R05,2684,1073482,2010-10-18,2022-10-18,Matured
RDR0000111,POL0001834,CUST007797,R04,1429,1849342,2018-03-25,2037-03-25,Active
RDR0000112,POL0010097,CUST007517,R03,6967,1812369,2022-05-13,2045-05-13,Active
RDR0000113,POL0012796,CUST008006,R01,1219,1123074,2010-03-23,2035-03-23,Active
RDR0000114,POL0003862,CUST000742,R05,1164,510509,2020-05-15,2050-05-15,Active
RDR0000115,POL0000048,CUST003446,R02,3496,214573,2010-07-15,2015-07-15,Matured
RDR0000116,POL0002002,CUST002763,R04,2184,456847,2021-12-07,2046-12-07,Active
RDR0000117,POL0007439,CUST002160,R03,3873,1110181,2022-12-07,2041-12-07,Active
RDR0000118,POL0009506,CUST001456,R03,5531,1071259,2014-12-25,2021-12-25,Matured
RDR0000119,POL0009647,CUST006663,R02,2613,1307738,2015-04-28,2036-04-28,Active
RDR0000120,POL0011525,CUST006118,R04,1431,998957,2010-08-06,2015-08-06,Matured
RDR0000121,POL0003426,CUST006524,R02,6973,1569593,2010-03-07,2042-03-07,Active
RDR0000122,POL0002314,CUST000782,R03,2123,1964159,2019-09-13,2058-09-13,Active
RDR0000123,POL0014679,CUST009022,R01,6464,272140,2016-07-29,2030-07-29,Active
RDR0000124,POL0008242,CUST003438,R02,3338,1368376,2014-09-13,2029-09-13,Active
RDR0000125,POL0014915,CUST003359,R01,6309,426428,2011-10-07,2023-10-07,Matured
RDR0000126,POL0006173,CUST009514,R03,4363,1184008,2020-03-06,2039-03-06,Active
RDR0000127,POL0012423,CUST009981,R03,2447,235132,2022-03-18,2032-03-18,Active
RDR0000128,POL0014196,CUST004488,R04,7391,954441,2012-12-14,2041-12-14,Active
RDR0000129,POL0005957,CUST003183,R05,3309,1928095,2010-10-22,2048-10-22,Active
RDR0000130,POL0002037,CUST002761,R04,5624,883353,2010-12-20,2022-12-20,Matured
RDR0000131,POL0005075,CUST003184,R03,3059,370094,2011-02-18,2036-02-18,Surrendered
RDR0000132,POL0004751,CUST001545,R04,3137,961071,2016-05-06,2031-05-06,Active
RDR0000133,POL0013836,CUST005529,R03,4273,1055046,2013-12-15,2045-12-15,Active
RDR0000134,POL0004050,CUST002990,R01,4033,865231,2020-09-09,2030-09-09,Active
RDR0000135,POL0012899,CUST001990,R05,1392,1014950,2011-02-20,2031-02-20,Lapsed
RDR0000136,POL0012519,CUST002538,R04,6555,1758915,2019-03-08,2038-03-08,Active
RDR0000137,POL0002120,CUST003003,R02,5719,665164,2021-12-27,2055-12-27,Active
RDR0000138,POL0004896,CUST006432,R01,2068,1643255,2010-11-19,2019-11-19,Matured
RDR0000139,POL0013176,CUST003558,R01,1164,871436,2023-05-02,2034-05-02,Active
RDR0000140,POL0014502,CUST006401,R02,2484,1428574,2016-03-24,2052-03-24,Active
RDR0000141,POL0007883,CUST009979,R01,3710,516966,2023-05-23,2033-05-23,Active
RDR0000142,POL0002964,CUST003624,R01,5579,1336345,2011-12-26,2045-12-26,Active
RDR0000143,POL0005385,CUST008940,R02,5768,1076185,2015-06-07,2024-06-07,Matured
RDR0000144,POL0008253,CUST009649,R04,3383,1657816,2016-10-19,2044-10-19,Active
RDR0000145,POL0003306,CUST002523,R01,2117,1889149,2017-01-18,2037-01-18,Lapsed
RDR0000146,POL0010982,CUST007742,R04,2400,788951,2010-12-10,2030-12-10,Active
RDR0000147,POL0013322,CUST005256,R02,4815,1588779,2014-10-20,2036-10-20,Active
RDR0000148,POL0002711,CUST002152,R04,1623,1668053,2019-09-30,2058-09-30,Active
RDR0000149,POL0013567,CUST004545,R03,5882,644668,2016-09-17,2034-09-17,Active
RDR0000150,POL0010199,CUST005461,R04,1713,881649,2011-02-27,2017-02-27,Matured
RDR0000151,POL0010662,CUST009911,R03,6294,1375144,2024-05-01,2039-05-01,Active
RDR0000152,POL0000155,CUST007599,R04,6467,404307,2020-11-20,2025-11-20,Active
RDR0000153,POL0006435,CUST001850,R04,5762,1028718,2022-03-27,2029-03-27,Active
RDR0000154,POL0007554,CUST006304,R04,5293,1928523,2020-08-11,2034-08-11,Active
RDR0000155,POL0002695,CUST004882,R01,5919,735052,2012-05-23,2025-05-23,Matured
RDR0000156,POL0014967,CUST007144,R04,4221,451592,2021-01-02,2043-01-02,Active
RDR0000157,POL0011304,CUST006768,R03,1998,1509882,2010-09-08,2028-09-08,Active
RDR0000158,POL0005635,CUST003789,R03,2631,691166,2011-07-27,2026-07-27,Active
RDR0000159,POL0013877,CUST004014,R03,2346,1855874,2018-09-20,2035-09-20,Active
RDR0000160,POL0003938,CUST004833,R03,3447,425100,2021-10-20,2034-10-20,Active
RDR0000161,POL0000792,CUST003013,R04,3784,1585608,2013-10-26,2043-10-26,Active
RDR0000162,POL0003840,CUST009912,R04,6530,1613967,2010-12-19,2017-12-19,Matured
RDR0000163,POL0009612,CUST009125,R01,6865,1512625,2022-07-18,2039-07-18,Active
RDR0000164,POL0000623,CUST000692,R02,4954,1199533,2011-10-27,2031-10-27,Active
RDR0000165,POL0002992,CUST009445,R01,3742,1462652,2011-09-10,2023-09-10,Matured
RDR0000166,POL0004927,CUST005295,R03,2710,499670,2018-05-02,2037-05-02,Active
RDR0000167,POL0009709,CUST001258,R03,7058,1184841,2019-05-16,2034-05-16,Active
RDR0000168,POL0012806,CUST007306,R01,1534,691351,2021-03-29,2029-03-29,Active
RDR0000169,POL0010278,CUST008694,R04,6518,1558263,2010-06-14,2019-06-14,Matured
RDR0000170,POL0003725,CUST008447,R03,7294,905232,2021-08-20,2044-08-20,Active
RDR0000171,POL0006638,CUST003621,R03,5706,405377,2024-02-17,2041-02-17,Active
RDR0000172,POL0014279,CUST006960,R03,7895,594720,2011-08-25,2020-08-25,Matured
RDR0000173,POL0009511,CUST001295,R01,6564,747923,2015-07-07,2031-07-07,Lapsed
RDR0000174,POL0010022,CUST009424,R04,4678,1329431,2021-06-18,2059-06-18,Active
RDR0000175,POL0006281,CUST008097,R03,7062,1324273,2020-05-02,2039-05-02,Lapsed
RDR0000176,POL0012826,CUST009204,R05,3939,1567006,2016-11-14,2024-11-14,Matured
RDR0000177,POL0006214,CUST008812,R03,2190,1154028,2016-05-26,2031-05-26,Active
RDR0000178,POL0002520,CUST009320,R01,5644,560454,2017-10-15,2048-10-15,Active
RDR0000179,POL0002772,CUST005595,R03,3657,1774163,2010-12-13,2030-12-13,Active
RDR0000180,POL0000892,CUST002447,R02,5787,422335,2012-04-16,2033-04-16,Active
RDR0000181,POL0006769,CUST002709,R03,6062,1306489,2022-04-29,2035-04-29,Active
RDR0000182,POL0002037,CUST002761,R04,1763,1023546,2010-12-20,2022-12-20,Matured
RDR0000183,POL0002973,CUST003038,R01,4314,1440295,2021-05-31,2027-05-31,Active
RDR0000184,POL0002312,CUST004550,R04,7500,563677,2015-02-05,2030-02-05,Active
RDR0000185,POL0013806,CUST005612,R03,4873,784227,2011-02-25,2048-02-25,Active
RDR0000186,POL0000587,CUST008829,R01,2685,1058665,2023-06-30,2045-06-30,Surrendered
RDR0000187,POL0000550,CUST007155,R04,6101,534383,2018-01-31,2046-01-31,Active
RDR0000188,POL0013090,CUST006872,R01,5171,376641,2016-11-16,2028-11-16,Active
RDR0000189,POL0007205,CUST006442,R02,2677,1563863,2021-07-03,2034-07-03,Active
RDR0000190,POL0001292,CUST005168,R02,7793,1151417,2023-02-04,2033-02-04,Active
RDR0000191,POL0006985,CUST004991,R05,1085,1039331,2015-02-24,2026-02-24,Active
RDR0000192,POL0004873,CUST003210,R03,1891,855348,2015-08-19,2042-08-19,Active
RDR0000193,POL0007407,CUST004403,R02,7892,1479917,2014-11-02,2025-11-02,Active
RDR0000194,POL0004796,CUST005789,R04,2003,1866973,2014-01-08,2020-01-08,Surrendered
RDR0000195,POL0010264,CUST005466,R01,7510,1400308,2015-11-04,2025-11-04,Active
RDR0000196,POL0014874,CUST002131,R01,6041,1512537,2015-07-26,2024-07-26,Matured
RDR0000197,POL0005014,CUST004850,R05,4107,1924661,2024-03-15,2029-03-15,Active
RDR0000198,POL0001777,CUST008508,R03,6331,1432089,2012-11-30,2027-11-30,Active
RDR0000199,POL0009477,CUST004152,R04,1646,1573129,2020-09-07,2039-09-07,Lapsed
RDR0000200,POL0000378,CUST003536,R05,5821,1769152,2016-06-23,2047-06-23,Active
RDR0000201,POL0003065,CUST004701,R02,4293,596060,2018-02-22,2027-02-22,Active
RDR0000202,POL0008655,CUST009345,R03,6073,771342,2012-12-29,2031-12-29,Active
RDR0000203,POL0008219,CUST002021,R03,3551,1724464,2018-07-15,2038-07-15,Active
RDR0000204,POL0014561,CUST008084,R05,6487,941675,2016-10-07,2037-10-07,Active
RDR0000205,POL0005722,CUST006107,R04,4167,1935307,2017-10-01,2022-10-01,Matured
RDR0000206,POL0003231,CUST005517,R03,1050,1954062,2018-10-30,2038-10-30,Active
RDR0000207,POL0003253,CUST007799,R01,2394,1480889,2022-08-05,2049-08-05,Active
RDR0000208,POL0013408,CUST005923,R05,7660,356730,2018-09-08,2034-09-08,Active
RDR0000209,POL0010625,CUST009824,R04,5219,884380,2011-02-09,2026-02-09,Active
RDR0000210,POL0003460,CUST008534,R05,3719,1545505,2013-11-22,2020-11-22,Matured
RDR0000211,POL0008201,CUST000185,R03,3788,983601,2013-12-23,2021-12-23,Matured
RDR0000212,POL0004523,CUST003883,R05,2554,1079903,2011-12-23,2037-12-23,Active
RDR0000213,POL0006417,CUST002703,R02,4560,1582648,2020-10-27,2041-10-27,Active
RDR0000214,POL0009219,CUST000786,R05,6113,1744969,2013-04-25,2047-04-25,Active
RDR0000215,POL0005215,CUST006524,R02,1861,644384,2014-11-26,2026-11-26,Active
RDR0000216,POL0007669,CUST009799,R05,1235,734064,2016-02-26,2028-02-26,Active
RDR0000217,POL0014614,CUST008661,R01,2760,1935480,2018-06-09,2023-06-09,Matured
RDR0000218,POL0003794,CUST005226,R01,7731,803840,2021-07-07,2032-07-07,Active
RDR0000219,POL0000023,CUST002811,R02,1444,1287648,2015-04-25,2026-04-25,Active
RDR0000220,POL0010255,CUST008407,R04,6887,1900265,2017-08-06,2047-08-06,Active
RDR0000221,POL0012969,CUST003565,R01,5419,1504690,2019-09-13,2034-09-13,Active
RDR0000222,POL0008442,CUST009952,R04,3268,291222,2019-01-12,2034-01-12,Active
RDR0000223,POL0011693,CUST009219,R05,1097,1386872,2018-06-08,2026-06-08,Active
RDR0000224,POL0011884,CUST002033,R02,1044,266383,2016-07-23,2037-07-23,Active
RDR0000225,POL0004891,CUST009867,R04,3256,1258178,2010-09-06,2021-09-06,Matured
RDR0000226,POL0004399,CUST008764,R03,7654,1782827,2023-12-16,2041-12-16,Claimed-Death
RDR0000227,POL0014448,CUST003315,R02,6265,1592221,2017-01-10,2048-01-10,Active
RDR0000228,POL0010156,CUST000746,R03,3177,743264,2011-07-26,2020-07-26,Matured
RDR0000229,POL0008699,CUST002600,R02,7079,1286375,2022-03-21,2027-03-21,Active
RDR0000230,POL0008930,CUST006225,R04,6116,708010,2023-01-15,2031-01-15,Active
RDR0000231,POL0009427,CUST002736,R04,6595,1265975,2017-12-24,2047-12-24,Active
RDR0000232,POL0005793,CUST003698,R05,2098,483525,2022-02-18,2036-02-18,Active
RDR0000233,POL0006154,CUST009929,R04,3898,1063615,2012-11-01,2027-11-01,Active
RDR0000234,POL0003006,CUST007369,R02,2574,1265700,2015-10-13,2035-10-13,Active
RDR0000235,POL0008889,CUST002099,R01,5818,1134846,2023-05-25,2035-05-25,Active
RDR0000236,POL0010614,CUST004050,R04,7986,1662269,2019-10-27,2033-10-27,Active
RDR0000237,POL0002384,CUST002956,R04,5381,715356,2012-05-28,2043-05-28,Lapsed
RDR0000238,POL0003996,CUST002940,R03,2354,1872730,2015-01-07,2027-01-07,Claimed-Other
RDR0000239,POL0009288,CUST007844,R05,6574,541856,2016-06-27,2027-06-27,Lapsed
RDR0000240,POL0007133,CUST007088,R04,2393,405128,2011-05-15,2030-05-15,Active
RDR0000241,POL0004421,CUST006990,R03,5648,882826,2020-05-18,2027-05-18,Active
RDR0000242,POL0005052,CUST006341,R01,3316,476775,2024-04-02,2041-04-02,Active
RDR0000243,POL0003062,CUST004147,R02,2767,492292,2017-08-22,2040-08-22,Active
RDR0000244,POL0007513,CUST001756,R04,6432,1539940,2017-06-27,2057-06-27,Active
RDR0000245,POL0009913,CUST005682,R05,2670,1494905,2012-10-04,2032-10-04,Active
RDR0000246,POL0006916,CUST000859,R03,6335,231075,2012-09-28,2018-09-28,Matured
RDR0000247,POL0006071,CUST007466,R05,1718,1935600,2010-10-15,2044-10-15,Active
RDR0000248,POL0001077,CUST007023,R05,5054,1043902,2014-06-20,2030-06-20,Active
RDR0000249,POL0014301,CUST009804,R03,2049,1036583,2016-04-15,2035-04-15,Active
RDR0000250,POL0012428,CUST003776,R01,7557,232925,2018-07-19,2036-07-19,Active
RDR0000251,POL0002122,CUST001020,R03,3810,1426611,2011-08-03,2017-08-03,Matured
RDR0000252,POL0000477,CUST009437,R05,3002,289264,2019-02-23,2032-02-23,Active
RDR0000253,POL0001261,CUST007434,R01,4569,450149,2011-05-31,2045-05-31,Active
RDR0000254,POL0006349,CUST009882,R03,7591,825414,2021-03-25,2026-03-25,Active
RDR0000255,POL0002385,CUST007393,R03,2084,281405,2020-06-07,2031-06-07,Active
RDR0000256,POL0003334,CUST002462,R04,6217,1664661,2020-02-05,2043-02-05,Active
RDR0000257,POL0000666,CUST004123,R02,5660,232213,2020-10-31,2030-10-31,Surrendered
RDR0000258,POL0005276,CUST005575,R03,7846,830114,2020-03-03,2036-03-03,Active
RDR0000259,POL0006833,CUST000567,R05,4368,1476308,2015-11-03,2042-11-03,Lapsed
RDR0000260,POL0001509,CUST001384,R02,5443,1774734,2018-09-12,2035-09-12,Active
RDR0000261,POL0000809,CUST008449,R01,1931,274294,2016-02-29,2024-02-29,Matured
RDR0000262,POL0008357,CUST001089,R04,4690,1123811,2019-12-27,2038-12-27,Active
RDR0000263,POL0005022,CUST003176,R04,6253,1235330,2021-09-03,2033-09-03,Active
RDR0000264,POL0003040,CUST002932,R01,1053,1005822,2022-04-08,2033-04-08,Active
RDR0000265,POL0002530,CUST007666,R03,1915,1671149,2023-07-28,2060-07-28,Active
RDR0000266,POL0014724,CUST007480,R05,2909,1636682,2023-08-16,2047-08-16,Active
RDR0000267,POL0013733,CUST009049,R05,7081,595812,2017-01-13,2030-01-13,Lapsed
RDR0000268,POL0012365,CUST003072,R01,3788,1715258,2010-04-24,2019-04-24,Matured
RDR0000269,POL0000458,CUST007000,R01,3947,602782,2011-03-17,2034-03-17,Active
RDR0000270,POL0003702,CUST002987,R01,1326,1863367,2020-04-18,2050-04-18,Active
RDR0000271,POL0003375,CUST000838,R03,5292,1109370,2024-03-07,2038-03-07,Active
RDR0000272,POL0009028,CUST003230,R02,3988,1046216,2013-01-17,2031-01-17,Lapsed
RDR0000273,POL0007253,CUST002524,R01,2234,630497,2018-02-10,2027-02-10,Active
RDR0000274,POL0008738,CUST006394,R02,3391,1986423,2017-01-05,2042-01-05,Active
RDR0000275,POL0005065,CUST001305,R01,4433,1750797,2016-09-16,2041-09-16,Active
RDR0000276,POL0002048,CUST009260,R02,7191,1451321,2011-05-16,2044-05-16,Active
RDR0000277,POL0010101,CUST001645,R01,2838,255037,2014-03-21,2028-03-21,Active
RDR0000278,POL0005106,CUST009084,R01,5449,216918,2012-10-23,2028-10-23,Active
RDR0000279,POL0007806,CUST008783,R05,1609,349980,2023-10-12,2046-10-12,Active
RDR0000280,POL0004855,CUST006797,R03,5430,1026329,2013-07-16,2020-07-16,Matured
RDR0000281,POL0001066,CUST002021,R01,2715,845049,2019-10-03,2027-10-03,Active
RDR0000282,POL0010071,CUST009345,R03,1987,1788332,2022-07-23,2028-07-23,Active
RDR0000283,POL0011923,CUST002523,R01,7407,930063,2023-10-17,2038-10-17,Active
RDR0000284,POL0003458,CUST003180,R02,6558,1851321,2010-06-11,2024-06-11,Matured
RDR0000285,POL0000174,CUST004106,R03,7592,709525,2016-09-14,2037-09-14,Active
RDR0000286,POL0014085,CUST000550,R01,2341,538691,2022-12-30,2034-12-30,Active
RDR0000287,POL0013443,CUST006614,R04,4752,276730,2021-03-07,2055-03-07,Active
RDR0000288,POL0009203,CUST002842,R01,3399,697047,2015-05-14,2030-05-14,Active
RDR0000289,POL0012069,CUST000668,R01,6136,1053306,2021-09-14,2033-09-14,Active
RDR0000290,POL0014052,CUST004521,R02,4758,1796890,2011-04-18,2037-04-18,Claimed-Death
RDR0000291,POL0011292,CUST004978,R01,7554,869740,2023-08-22,2034-08-22,Active
RDR0000292,POL0009389,CUST005598,R04,4749,1991340,2012-03-19,2032-03-19,Active
RDR0000293,POL0012398,CUST007203,R05,3392,207806,2024-03-12,2054-03-12,Active
RDR0000294,POL0012405,CUST003224,R04,1978,1414934,2019-11-22,2030-11-22,Active
RDR0000295,POL0010428,CUST002568,R04,5729,1133348,2011-03-27,2028-03-27,Active
RDR0000296,POL0010695,CUST005027,R03,1034,800722,2011-09-28,2032-09-28,Active
RDR0000297,POL0001331,CUST002877,R01,7187,335320,2019-02-12,2029-02-12,Active
RDR0000298,POL0014573,CUST004041,R04,3161,992201,2013-04-21,2043-04-21,Active
RDR0000299,POL0007159,CUST008280,R01,5079,504146,2013-03-22,2035-03-22,Active
RDR0000300,POL0006552,CUST004750,R01,5946,1109941,2018-05-09,2034-05-09,Lapsed
RDR0000301,POL0002443,CUST006784,R03,6904,1623491,2019-07-31,2033-07-31,Active
